Indicators, Expected Outputs and Outcomes by Activity [SIDA – 11 Brothels
Overall Indicator: # of brothels covered [Target: 11]
Activity wise indicators:

--- TABLE 1 ---
Activities | Major Indicators | Target/Indicators | Expected Outputs | Expected Outcome
Objective 1: Strengthen institutional and community systems for inclusive, gender-affirmative, and rights-based SRHR, HIV, and GBV response for key population including LGBTQI and FSW in selected districts. | Objective 1: Strengthen institutional and community systems for inclusive, gender-affirmative, and rights-based SRHR, HIV, and GBV response for key population including LGBTQI and FSW in selected districts. | Objective 1: Strengthen institutional and community systems for inclusive, gender-affirmative, and rights-based SRHR, HIV, and GBV response for key population including LGBTQI and FSW in selected districts. | Objective 1: Strengthen institutional and community systems for inclusive, gender-affirmative, and rights-based SRHR, HIV, and GBV response for key population including LGBTQI and FSW in selected districts. | Objective 1: Strengthen institutional and community systems for inclusive, gender-affirmative, and rights-based SRHR, HIV, and GBV response for key population including LGBTQI and FSW in selected districts.
1.1 Provide counselling, screening and management for HIV, syphilis, STIs and FP services | Number of FSWs receiving HIV/STI screening and FP counselling | 3,484 FSWs | FSWs receive regular HIV/STI screening and counselling services in brothels | Increased early detection of HIV/STIs and improved uptake of SRHR services among FSWs
1.2 Screen and support GBV survivors and activate referral mechanisms | Number of GBV survivors identified and referred for services | 100 GBV Survivors | GBV survivors receive psychosocial, legal and health referrals | Improved protection and support systems for GBV survivors in brothel communities
1.3 Provide individual and group mental health counselling | Number of FSWs receiving mental health counselling sessions | 1,000 FSWs | Regular MHPSS counselling sessions delivered to FSWs | Improved mental wellbeing and coping mechanisms among FSWs
1.4 Conduct targeted outreach and health education | Number of outreach sessions conducted and FSWs and Clients of Sex workers reached | 897 sessions | Increased awareness sessions on SRHR, HIV and GBV prevention | Improved health seeking behavior among FSWs
1.5 Ensure availability of essential SRHR and GBV supplies | Number of service centers with uninterrupted SRHR commodities | 679,380 Pcs condoms / 140 boxes of Syphilis Screening Kits / 176 boxes of Hepatitis B Screening Kits / 176 boxes of Hepatitis C Screening Kits / 70 boxes of HIV Screening Kits | Continuous availability of condoms, test kits, contraceptives and dignity kits | Improved access to prevention commodities and quality SRHR services
1.6 Referral support for ART, diagnostics and treatment | Number of HIV/STI positive cases successfully referred and enrolled in treatment | 190 cases | Confirmed cases linked with government health facilities | Increased treatment adherence and reduced HIV/STI complications
1.7 Establish and strengthen community friendly centers | Number of functional brothels based SRHR service centers established | 9 centers | Operational drop‑in centers providing SRHR services | Improved safe access to community based SRHR services
1.8 Mobile outreach health services | Number of mobile health camps conducted | 40 camps | Mobile outreach services reaching FSWs at doorstep | Increased service coverage for hard‑to‑reach FSW populations
Objective 2: Enhance the capacity of health and protection service providers, including midwives and law enforcement personnel, to deliver survivor-centered, stigma-free, and gender-responsive care | Objective 2: Enhance the capacity of health and protection service providers, including midwives and law enforcement personnel, to deliver survivor-centered, stigma-free, and gender-responsive care | Objective 2: Enhance the capacity of health and protection service providers, including midwives and law enforcement personnel, to deliver survivor-centered, stigma-free, and gender-responsive care | Objective 2: Enhance the capacity of health and protection service providers, including midwives and law enforcement personnel, to deliver survivor-centered, stigma-free, and gender-responsive care | Objective 2: Enhance the capacity of health and protection service providers, including midwives and law enforcement personnel, to deliver survivor-centered, stigma-free, and gender-responsive care
2.1 Advocacy Orientation/workshop for health managers and supervisors | Number of managers oriented on inclusive SRHR and GBV response | 33 managers of DGFP / 140 District/upazila level GOB staff/service providers | Health managers trained on rights‑based service delivery | Reduced discrimination and improved institutional support
2.2 Training for midwives and service providers | Number of providers trained on inclusive SRHR and GBV response | 10 Medical Assistants/Midwifes cum Counselors | Service providers equipped with skills for inclusive care | Improved quality of SRHR services for FSWs
2.3 Training for peer educators and community leaders | Number of peer educators trained | Peer Educators and community leaders: 33 | Peer educators strengthened for outreach and referral | Increased community engagement and service uptake
2.4 Quarterly coordination meetings | Number of coordination meetings conducted | 18 meetings | Improved collaboration between NGOs, CBOs and government | Strengthened referral pathways and service coordination
Objective 3: Build community awareness and social accountability mechanisms to reduce stigma, discrimination, and violence, and to promote access to health and protection services among key populations. | Objective 3: Build community awareness and social accountability mechanisms to reduce stigma, discrimination, and violence, and to promote access to health and protection services among key populations. | Objective 3: Build community awareness and social accountability mechanisms to reduce stigma, discrimination, and violence, and to promote access to health and protection services among key populations. | Objective 3: Build community awareness and social accountability mechanisms to reduce stigma, discrimination, and violence, and to promote access to health and protection services among key populations. | Objective 3: Build community awareness and social accountability mechanisms to reduce stigma, discrimination, and violence, and to promote access to health and protection services among key populations.
3.1 Install billboards and communication materials | Number of awareness billboards/message boards installed | Message board: 66 pcs / Poster: 200 pcs / Signboard: 11 Pcs  / Bill Board: 11 | SRHR and GBV awareness messages visible in brothel areas | Increased awareness on rights, SRHR and GBV prevention
